x_value,total_1,total_2
0,1000,1000
1,997,1001
2,994,1004
3,993,1006
4,993,1007
5,993,1005
6,991,1000
7,998,1004
8,1000,1010
9,994,1015
10,1001,1017
11,995,1013
12,995,1019
13,1000,1015
14,996,1016
15,992,1014
16,990,1019
17,984,1014
18,984,1018
19,992,1015
20,988,1017
21,993,1022
22,990,1027
23,992,1032
24,996,1033
25,991,1029
26,999,1025
27,994,1024
28,989,1019
29,989,1025
30,995,1029
31,1000,1026
32,1001,1030
33,1009,1027
34,1008,1031
35,1003,1026
36,1011,1028
37,1015,1026
38,1015,1028
39,1020,1024
40,1014,1021
41,1008,1018
42,1015,1021
43,1016,1026
44,1020,1022
45,1015,1019
46,1021,1016
47,1028,1018
48,1022,1014
49,1028,1010
50,1022,1015
51,1018,1015
52,1018,1012
53,1021,1013
54,1026,1018
55,1028,1016
56,1036,1021
57,1033,1021
58,1030,1017
59,1034,1012
60,1030,1018
61,1035,1024
62,1033,1021
63,1027,1019
64,1030,1017
65,1031,1021
66,1039,1021
67,1038,1023
68,1036,1019
69,1037,1021
70,1039,1018
71,1033,1020
72,1037,1021
73,1031,1025
74,1037,1027
75,1045,1033
76,1040,1037
77,1034,1033
78,1038,1033
79,1038,1037
80,1046,1034
81,1042,1040
82,1040,1046
83,1035,1041
84,1039,1036
85,1041,1032
86,1049,1034
87,1057,1032
88,1065,1030
89,1070,1025
90,1078,1021
91,1081,1021
92,1089,1020
93,1086,1023
94,1087,1020
95,1095,1016
96,1089,1021
97,1091,1027
98,1087,1024
99,1092,1030
100,1095,1034
101,1090,1029
102,1095,1025
103,1097,1028
104,1102,1034
105,1096,1037
106,1099,1042
107,1100,1043
108,1095,1041
109,1098,1047
110,1103,1044
111,1101,1048
112,1100,1048
113,1102,1054
114,1109,1058
115,1103,1063
116,1097,1062
117,1098,1063
118,1103,1063
119,1109,1066
120,1117,1063
121,1115,1066
122,1123,1068
123,1129,1064
124,1125,1069
125,1130,1067
126,1128,1071
127,1129,1076
128,1135,1080
129,1134,1081
130,1137,1077
131,1145,1078
132,1149,1077
133,1146,1077
134,1154,1079
135,1159,1084
136,1157,1079
137,1152,1082
138,1146,1079
139,1141,1078
140,1139,1073
141,1138,1072
142,1132,1072
143,1135,1078
144,1143,1082
145,1140,1083
146,1146,1086
147,1146,1089
148,1154,1088
149,1150,1087
150,1147,1089
151,1155,1086
152,1158,1081
153,1152,1078
154,1153,1076
155,1154,1073
156,1150,1074
157,1153,1078
158,1158,1077
159,1160,1082
160,1168,1086
161,1162,1088
162,1156,1094
163,1164,1099
164,1170,1098
165,1164,1101
166,1167,1107
167,1163,1111
168,1169,1112
169,1171,1110
170,1179,1107
171,1185,1103
172,1189,1109
173,1196,1109
174,1191,1112
175,1199,1112
176,1204,1112
177,1203,1109
178,1206,1105
179,1207,1110
180,1210,1105
181,1206,1108
182,1203,1112
183,1202,1110
184,1206,1111
185,1204,1114
186,1208,1115
187,1203,1118
188,1205,1115
189,1203,1115
190,1209,1121
191,1217,1121
192,1211,1123
193,1207,1124
194,1210,1128
195,1208,1134
196,1202,1140
197,1209,1139
198,1213,1140
199,1220,1142
200,1222,1144
201,1220,1145
202,1223,1146
203,1219,1142
204,1214,1145
205,1211,1147
206,1212,1149
207,1211,1153
208,1206,1158
209,1202,1156
210,1199,1158
211,1193,1158
212,1187,1155
213,1195,1153
214,1196,1153
215,1198,1152
216,1199,1157
217,1196,1159
218,1201,1160
219,1201,1161
220,1201,1157
221,1203,1160
222,1197,1165
223,1199,1162
224,1196,1163
225,1203,1163
226,1205,1167
227,1204,1169
228,1205,1172
229,1212,1177
230,1219,1175
231,1224,1174
232,1230,1180
233,1230,1177
234,1235,1174
235,1230,1178
236,1226,1176
237,1220,1172
238,1225,1171
239,1225,1177
240,1232,1172
241,1226,1170
242,1228,1165
243,1233,1166
244,1235,1169
245,1241,1171
246,1239,1174
247,1239,1173
248,1244,1171
249,1245,1174
250,1248,1178
251,1245,1179
252,1240,1175
253,1245,1172
254,1246,1174
255,1246,1170
256,1252,1174
257,1255,1176
258,1259,1171
259,1265,1173
260,1263,1168
261,1266,1163
262,1274,1163
263,1274,1166
264,1270,1168
265,1270,1174
266,1265,1174
267,1271,1170
268,1274,1165
269,1278,1169
270,1276,1175
271,1279,1179
272,1284,1179
273,1279,1176
274,1276,1175
275,1284,1170
276,1280,1167
277,1274,1165
278,1281,1164
279,1278,1169
280,1277,1166
281,1272,1162
282,1268,1159
283,1263,1154
284,1259,1152
285,1267,1157
286,1261,1159
287,1256,1154
288,1250,1157
289,1248,1161
290,1255,1167
291,1250,1163
292,1245,1165
293,1249,1160
294,1249,1162
295,1256,1165
296,1254,1165
297,1262,1170
298,1269,1174
299,1266,1174
300,1266,1175
301,1273,1176
302,1280,1171
303,1281,1171
304,1279,1175
305,1285,1174
306,1280,1169
307,1279,1167
308,1275,1164
309,1273,1160
310,1279,1156
311,1283,1160
312,1279,1164
313,1275,1162
314,1272,1165
315,1278,1163
316,1286,1165
317,1282,1170
318,1289,1174
319,1296,1180
320,1304,1185
321,1306,1181
322,1309,1186
323,1314,1192
324,1322,1187
325,1325,1192
326,1321,1193
327,1329,1188
328,1336,1187
329,1342,1193
330,1348,1195
331,1356,1198
332,1361,1200
333,1355,1202
334,1359,1207
335,1360,1202
336,1356,1207
337,1360,1208
338,1365,1204
339,1363,1199
340,1364,1201
341,1360,1202
342,1358,1198
343,1361,1201
344,1364,1201
345,1360,1198
346,1355,1194
347,1359,1190
348,1367,1192
349,1366,1188
350,1368,1189
351,1373,1189
352,1369,1192
353,1372,1194
354,1371,1193
355,1373,1199
356,1372,1195
357,1371,1195
358,1367,1198
359,1362,1201
360,1360,1197
361,1366,1198
362,1374,1204
363,1370,1206
364,1375,1203
365,1381,1207
366,1381,1204
367,1378,1201
368,1374,1202
369,1380,1197
370,1380,1197
371,1374,1201
372,1370,1207
373,1364,1212
374,1358,1211
375,1362,1214
376,1362,1211
377,1365,1217
378,1369,1218
379,1363,1222
380,1366,1227
381,1373,1223
382,1380,1222
383,1378,1222
384,1376,1226
385,1384,1221
386,1386,1219
387,1391,1219
388,1397,1215
389,1397,1220
390,1396,1224
391,1397,1230
392,1400,1236
393,1402,1234
394,1398,1239
395,1404,1244
396,1403,1244
397,1403,1249
398,1399,1245
399,1395,1245
400,1395,1247
401,1402,1252
402,1403,1254
403,1399,1250
404,1394,1248
405,1399,1251
406,1398,1253
407,1396,1250
408,1398,1245
409,1394,1242
410,1388,1240
411,1383,1237
412,1387,1232
413,1389,1233
414,1389,1229
415,1383,1232
416,1389,1238
417,1389,1242
418,1387,1244
419,1383,1241
420,1391,1245
421,1399,1241
422,1407,1245
423,1404,1248
424,1405,1245
425,1408,1244
426,1410,1247
427,1410,1246
428,1418,1241
429,1420,1246
430,1415,1247
431,1410,1249
432,1418,1252
433,1426,1257
434,1421,1257
435,1422,1257
436,1423,1255
437,1422,1258
438,1416,1259
439,1412,1262
440,1411,1264
441,1405,1270
442,1400,1273
443,1406,1271
444,1410,1271
445,1415,1267
446,1416,1263
447,1422,1261
448,1417,1266
449,1416,1271
450,1413,1274
451,1409,1280
452,1416,1279
453,1410,1274
454,1404,1277
455,1401,1275
456,1405,1280
457,1404,1282
458,1399,1286
459,1399,1289
460,1407,1291
461,1410,1293
462,1415,1294
463,1423,1289
464,1426,1293
465,1431,1298
466,1429,1298
467,1433,1295
468,1436,1296
469,1444,1291
470,1449,1287
471,1445,1291
472,1444,1294
473,1442,1292
474,1446,1291
475,1446,1297
476,1445,1300
477,1442,1300
478,1442,1300
479,1443,1305
480,1445,1308
481,1444,1312
482,1442,1315
483,1436,1315
484,1437,1319
485,1444,1322
486,1441,1322
487,1442,1324
488,1437,1325
489,1443,1327
490,1449,1330
491,1449,1327
492,1456,1322
493,1452,1328
494,1447,1334
495,1451,1330
496,1453,1332
497,1461,1337
498,1462,1342
499,1461,1343
500,1466,1339
501,1464,1335
502,1467,1340
503,1471,1344
504,1465,1347
505,1462,1349
506,1470,1353
507,1466,1349
508,1472,1352
509,1478,1347
510,1483,1343
511,1480,1340
512,1478,1338
513,1472,1338
514,1472,1333
515,1468,1339
516,1474,1338
517,1479,1335
518,1483,1335
519,1483,1331
520,1486,1329
521,1489,1330
522,1495,1331
523,1491,1331
524,1498,1326
525,1495,1332
526,1494,1338
527,1497,1343
528,1496,1344
529,1490,1339
530,1489,1340
531,1487,1344
532,1485,1341
533,1485,1343
534,1482,1344
535,1484,1346
536,1492,1352
537,1496,1352
538,1504,1350
539,1505,1351
540,1505,1351
541,1509,1347
542,1503,1352
543,1506,1357
544,1507,1354
545,1511,1360
546,1506,1356
547,1505,1356
548,1505,1355
549,1511,1352
550,1506,1354
551,1514,1359
552,1521,1359
553,1518,1358
554,1513,1358
555,1518,1364
556,1520,1369
557,1514,1366
558,1520,1362
559,1521,1363
560,1518,1360
561,1525,1360
562,1519,1360
563,1514,1356
564,1510,1355
565,1504,1358
566,1499,1362
567,1502,1357
568,1504,1355
569,1502,1361
570,1501,1362
571,1504,1366
572,1502,1364
573,1497,1369
574,1504,1367
575,1505,1369
576,1504,1373
577,1511,1368
578,1514,1370
579,1510,1368
580,1517,1365
581,1519,1361
582,1513,1366
583,1514,1371
584,1514,1369
585,1517,1367
586,1516,1370
587,1523,1376
588,1519,1379
589,1521,1374
590,1519,1376
591,1513,1372
592,1518,1374
593,1515,1372
594,1511,1374
595,1509,1376
596,1507,1382
597,1506,1382
598,1513,1378
599,1513,1380
600,1517,1383
601,1516,1379
602,1511,1379
603,1509,1379
604,1505,1383
605,1513,1388
606,1518,1384
607,1521,1379
608,1521,1380
609,1521,1379
610,1516,1380
611,1517,1379
612,1516,1377
613,1521,1374
614,1528,1373
615,1526,1369
616,1521,1365
617,1525,1366
618,1521,1365
619,1517,1366
620,1512,1372
621,1519,1374
622,1524,1373
623,1522,1371
624,1517,1369
625,1525,1374
626,1530,1369
627,1537,1364
628,1545,1368
629,1548,1371
630,1543,1370
631,1541,1373
632,1538,1379
633,1545,1374
634,1553,1379
635,1553,1376
636,1553,1375
637,1558,1372
638,1554,1368
639,1553,1369
640,1558,1364
641,1557,1369
642,1559,1364
643,1562,1369
644,1570,1366
645,1568,1366
646,1572,1365
647,1576,1365
648,1576,1361
649,1571,1361
650,1579,1356
651,1573,1360
652,1576,1363
653,1573,1369
654,1568,1373
655,1565,1371
656,1570,1375
657,1569,1378
658,1566,1375
659,1571,1370
660,1574,1376
661,1578,1381
662,1574,1377
663,1574,1375
664,1573,1373
665,1567,1368
666,1574,1372
667,1579,1378
668,1582,1376
669,1582,1371
670,1589,1373
671,1587,1369
672,1588,1369
673,1584,1370
674,1589,1367
675,1589,1372
676,1584,1367
677,1591,1365
678,1598,1361
679,1594,1367
680,1599,1373
681,1597,1375
682,1597,1370
683,1595,1374
684,1595,1379
685,1596,1383
686,1596,1381
687,1600,1379
688,1600,1378
689,1601,1378
690,1608,1374
691,1612,1371
692,1619,1373
693,1615,1374
694,1623,1370
695,1618,1369
696,1613,1364
697,1615,1365
698,1615,1368
699,1611,1363
700,1610,1366
